pair,n,mean_return,win_rate,break_even_cost,profit_factor,max_drawdown,total_pnl
USD/JPY,5543,1.1904,0.5419,1.1904,1.1414,2216.10,6598.30
GBP/JPY,5766,0.9918,0.5319,0.9918,1.0838,2365.20,5719.00
GBP/AUD,5106,0.8693,0.4978,0.8693,1.0850,1938.90,4438.70
CAD/JPY,6056,0.6828,0.5284,0.6828,1.0958,1442.70,4134.90
EUR/AUD,5084,0.6588,0.4976,0.6588,1.0741,1514.70,3349.40
GBP/CAD,7576,0.6252,0.5090,0.6252,1.0670,2077.50,4736.30
EUR/USD,7045,0.2651,0.5059,0.2651,1.0415,2485.50,1867.80
GBP/USD,7101,0.1710,0.5030,0.1710,1.0208,3322.80,1214.40
EUR/GBP,7324,-0.0442,0.4870,0.0000,0.9889,1345.20,-323.60
EUR/CAD,7644,-0.0453,0.4970,0.0000,0.9943,2187.20,-346.30
AUD/CAD,5336,-0.2614,0.5026,0.0000,0.9497,2329.70,-1394.90
AUD/USD,5383,-0.3090,0.5010,0.0000,0.9431,3158.50,-1663.30
EUR/CHF,6985,-0.3377,0.4885,0.0000,0.9263,2684.60,-2358.60
AUD/JPY,4906,-0.4021,0.5110,0.0000,0.9464,4384.70,-1972.70
NZD/CHF,5022,-0.4097,0.4894,0.0000,0.8959,2496.70,-2057.70
USD/CHF,7021,-0.4380,0.4951,0.0000,0.9267,3544.90,-3075.40
NZD/USD,5456,-0.5520,0.4897,0.0000,0.8953,4059.80,-3011.90
AUD/CHF,5168,-0.7348,0.4857,0.0000,0.8364,4324.60,-3797.40
NZD/JPY,4808,-0.7794,0.4988,0.0000,0.8820,5135.20,-3747.30
