start,end,n,mean_return,win_rate,profit_factor,break_even_cost
2021-01-04,2021-07-04,11010,0.0753,0.5068,1.0130,0.0753
2021-02-04,2021-08-04,10897,0.0128,0.5003,1.0022,0.0128
2021-03-04,2021-09-04,10846,-0.0455,0.4996,0.9922,0.0000
2021-04-04,2021-10-04,10700,-0.1349,0.4961,0.9770,0.0000
2021-05-04,2021-11-04,10869,-0.2420,0.4951,0.9592,0.0000
2021-06-04,2021-12-04,10629,-0.6389,0.4881,0.8986,0.0000
2021-07-04,2022-01-04,10682,-0.2407,0.4983,0.9616,0.0000
2021-08-04,2022-02-04,10992,-0.2644,0.4970,0.9571,0.0000
2021-09-04,2022-03-04,10889,-0.5513,0.4889,0.9152,0.0000
2021-10-04,2022-04-04,11115,-0.3276,0.4933,0.9519,0.0000
2021-11-04,2022-05-04,10696,-0.4939,0.4863,0.9314,0.0000
2021-12-04,2022-06-04,10739,-0.0193,0.4971,0.9974,0.0000
2022-01-04,2022-07-04,10415,-0.0905,0.4912,0.9887,0.0000
2022-02-04,2022-08-04,10151,-0.1292,0.4925,0.9851,0.0000
2022-03-04,2022-09-04,10281,0.2202,0.5008,1.0249,0.2202
2022-04-04,2022-10-04,9985,0.2517,0.5008,1.0276,0.2517
2022-05-04,2022-11-04,10396,0.4323,0.5050,1.0445,0.4323
2022-06-04,2022-12-04,10492,0.3641,0.5007,1.0364,0.3641
2022-07-04,2023-01-04,10684,0.1220,0.4976,1.0123,0.1220
2022-08-04,2023-02-04,10808,0.1331,0.4992,1.0135,0.1331
2022-09-04,2023-03-04,10707,0.1906,0.5009,1.0197,0.1906
2022-10-04,2023-04-04,10981,-0.0715,0.4975,0.9925,0.0000
2022-11-04,2023-05-04,10931,0.0020,0.5007,1.0002,0.0020
2022-12-04,2023-06-04,10690,0.2803,0.5086,1.0356,0.2803
2023-01-04,2023-07-04,10596,0.5610,0.5158,1.0749,0.5610
2023-02-04,2023-08-04,10397,0.7207,0.5208,1.1006,0.7207
2023-03-04,2023-09-04,10247,0.4933,0.5160,1.0680,0.4933
2023-04-04,2023-10-04,9959,0.7042,0.5247,1.1074,0.7042
2023-05-04,2023-11-04,10166,0.7731,0.5233,1.1184,0.7731
2023-06-04,2023-12-04,10172,0.5251,0.5192,1.0795,0.5251
2023-07-04,2024-01-04,10300,0.3220,0.5138,1.0475,0.3220
2023-08-04,2024-02-04,10361,0.3180,0.5095,1.0492,0.3180
2023-09-04,2024-03-04,10363,0.3554,0.5107,1.0577,0.3554
2023-10-04,2024-04-04,10780,0.4806,0.5100,1.0813,0.4806
2023-11-04,2024-05-04,10559,0.0269,0.5085,1.0044,0.0269
2023-12-04,2024-06-04,10517,0.2185,0.5156,1.0386,0.2185
2024-01-04,2024-07-04,10470,0.0581,0.5137,1.0106,0.0581
2024-02-04,2024-08-04,10263,-0.4775,0.5069,0.9170,0.0000
2024-03-04,2024-09-04,10295,-0.5481,0.5077,0.9078,0.0000
2024-04-04,2024-10-04,9979,-0.4448,0.5061,0.9303,0.0000
2024-05-04,2024-11-04,9780,-0.0471,0.5069,0.9921,0.0000
2024-06-04,2024-12-04,9910,-0.5951,0.4945,0.9118,0.0000
2024-07-04,2025-01-04,9965,-0.5501,0.4934,0.9212,0.0000
2024-08-04,2025-02-04,9835,-0.1521,0.4995,0.9784,0.0000
2024-09-04,2025-03-04,9910,0.1529,0.5034,1.0218,0.1529
2024-10-04,2025-04-04,10401,0.0789,0.4998,1.0112,0.0789
2024-11-04,2025-05-04,10291,0.1227,0.4965,1.0156,0.1227
2024-12-04,2025-06-04,10098,0.6363,0.5038,1.0846,0.6363
2025-01-04,2025-07-04,9956,0.6362,0.5063,1.0865,0.6362
2025-02-04,2025-08-04,9970,0.5844,0.5076,1.0813,0.5844
2025-03-04,2025-09-04,9947,0.3826,0.4974,1.0548,0.3826
2025-04-04,2025-10-04,9550,0.3197,0.4994,1.0489,0.3197
2025-05-04,2025-11-04,9520,0.1594,0.5038,1.0270,0.1594
2025-06-04,2025-12-04,9642,0.0692,0.5000,1.0117,0.0692
2025-07-04,2026-01-04,9536,0.0644,0.4961,1.0112,0.0644
2025-08-04,2026-02-04,9738,-0.0855,0.4938,0.9852,0.0000
2025-09-04,2026-03-04,9684,-0.1591,0.4978,0.9742,0.0000
2025-10-04,2026-04-04,9762,0.1955,0.4988,1.0307,0.1955
2025-11-04,2026-05-04,9886,-0.1799,0.5004,0.9726,0.0000
2025-12-04,2026-06-04,9906,-0.2922,0.4996,0.9540,0.0000
2026-01-04,2026-07-04,10037,-0.3149,0.4997,0.9502,0.0000
2026-02-04,2026-08-04,8995,0.0577,0.5016,1.0095,0.0577
2026-03-04,2026-09-04,7407,0.1497,0.5040,1.0257,0.1497
2026-04-04,2026-10-04,5636,-0.5039,0.5021,0.9118,0.0000
2026-05-04,2026-11-04,4039,0.2769,0.4972,1.0564,0.2769
2026-06-04,2026-12-04,2330,0.3406,0.4906,1.0672,0.3406
2026-07-04,2027-01-04,679,2.2327,0.4993,1.5078,2.2327
