pair,threshold,n,win_rate,mean_return,median_return,profit_factor,break_even_cost,net_exp_COST_LOW,net_exp_COST_BASE
AUD/CAD,0.5,2011,0.5077,-0.2545,0.3000,0.9541,0.0000,-1.1248,-2.0275
AUD/CAD,0.55,1305,0.5073,-0.1094,0.3000,0.9807,0.0000,-0.9797,-1.8824
AUD/CAD,0.6,845,0.5018,0.1609,0.2000,1.0292,0.1609,-0.7093,-1.6120
AUD/CAD,0.65,554,0.5235,0.7874,0.7500,1.1426,0.7874,-0.0829,-0.9856
AUD/CAD,0.7,397,0.5038,0.0572,0.3000,1.0091,0.0572,-0.8131,-1.7158
AUD/CAD,0.75,279,0.4875,-0.4161,-0.1000,0.9361,0.0000,-1.2864,-2.1891
AUD/CAD,0.8,183,0.4754,-2.2016,-1.0000,0.6966,0.0000,-3.0719,-3.9746
AUD/CAD,0.85,125,0.4880,-3.0336,-0.1000,0.6370,0.0000,-3.9039,-4.8066
AUD/CAD,0.9,76,0.4868,-2.3934,-0.1000,0.6997,0.0000,-3.2637,-4.1664
AUD/CHF,0.5,1846,0.4848,-1.2368,-0.3000,0.7531,0.0000,-2.0154,-2.8493
AUD/CHF,0.55,1156,0.4922,-1.0543,-0.1000,0.7871,0.0000,-1.8329,-2.6668
AUD/CHF,0.6,736,0.4918,-1.1058,-0.1000,0.7810,0.0000,-1.8844,-2.7183
AUD/CHF,0.65,459,0.4924,-1.1845,-0.2000,0.7765,0.0000,-1.9631,-2.7970
AUD/CHF,0.7,280,0.5179,-0.4786,0.5500,0.9077,0.0000,-1.2571,-2.0911
AUD/CHF,0.75,191,0.5131,-0.3000,0.6000,0.9440,0.0000,-1.0786,-1.9125
AUD/CHF,0.8,119,0.5210,-0.1387,1.0000,0.9752,0.0000,-0.9172,-1.7512
AUD/CHF,0.85,82,0.5244,0.9805,1.4000,1.1875,0.9805,0.2019,-0.6320
AUD/CHF,0.9,41,0.4634,1.1707,-0.2000,1.1953,1.1707,0.3922,-0.4418
AUD/JPY,0.5,1781,0.5188,-0.3141,0.9000,0.9606,0.0000,-1.2126,-2.1365
AUD/JPY,0.55,1173,0.5166,-0.4661,0.8000,0.9422,0.0000,-1.3646,-2.2885
AUD/JPY,0.6,749,0.5234,-0.3777,1.2000,0.9562,0.0000,-1.2762,-2.2001
AUD/JPY,0.65,513,0.5283,0.0628,1.3000,1.0073,0.0628,-0.8357,-1.7596
AUD/JPY,0.7,331,0.5257,0.1553,0.8000,1.0166,0.1553,-0.7432,-1.6671
AUD/JPY,0.75,215,0.5256,-0.3019,0.7000,0.9720,0.0000,-1.2004,-2.1242
AUD/JPY,0.8,130,0.5385,-0.7385,1.6500,0.9402,0.0000,-1.6370,-2.5608
AUD/JPY,0.85,78,0.5000,-6.0782,-0.1500,0.6271,0.0000,-6.9767,-7.9006
AUD/JPY,0.9,42,0.5000,-2.1571,-0.2500,0.8597,0.0000,-3.0557,-3.9795
AUD/USD,0.5,1994,0.4870,-0.2197,-0.2000,0.9610,0.0000,-1.0197,-1.8697
AUD/USD,0.55,1341,0.4795,-0.6758,-0.5000,0.8892,0.0000,-1.4758,-2.3258
AUD/USD,0.6,901,0.4750,-0.5926,-0.7000,0.9074,0.0000,-1.3926,-2.2426
AUD/USD,0.65,595,0.4857,-0.3230,-0.5000,0.9520,0.0000,-1.1230,-1.9730
AUD/USD,0.7,410,0.4854,-0.3700,-0.5500,0.9486,0.0000,-1.1700,-2.0200
AUD/USD,0.75,291,0.4880,-0.1079,-0.5000,0.9853,0.0000,-0.9079,-1.7579
AUD/USD,0.8,192,0.4844,-0.8927,-0.8000,0.8872,0.0000,-1.6927,-2.5427
AUD/USD,0.85,122,0.5246,0.8131,0.6500,1.1153,0.8131,0.0131,-0.8369
AUD/USD,0.9,82,0.5000,-1.3488,-0.2500,0.8394,0.0000,-2.1488,-2.9988
CAD/JPY,0.5,2438,0.5320,0.4200,1.3500,1.0550,0.4200,-0.4785,-1.4024
CAD/JPY,0.55,1639,0.5223,-0.1140,0.9000,0.9862,0.0000,-1.0125,-1.9364
CAD/JPY,0.6,1132,0.5221,-0.4194,1.1000,0.9525,0.0000,-1.3179,-2.2418
CAD/JPY,0.65,773,0.5265,-0.1532,1.3000,0.9832,0.0000,-1.0517,-1.9756
CAD/JPY,0.7,547,0.5265,0.3477,1.2000,1.0381,0.3477,-0.5508,-1.4747
CAD/JPY,0.75,379,0.5303,1.1040,1.3000,1.1172,1.1040,0.2055,-0.7184
CAD/JPY,0.8,247,0.4980,0.3085,0.0000,1.0320,0.3085,-0.5900,-1.5139
CAD/JPY,0.85,157,0.4522,0.3796,-1.5000,1.0406,0.3796,-0.5189,-1.4428
CAD/JPY,0.9,98,0.4592,2.1612,-1.6500,1.2111,2.1612,1.2627,0.3388
EUR/AUD,0.5,1812,0.5105,2.0301,0.5500,1.2308,2.0301,1.1224,0.1917
EUR/AUD,0.55,1174,0.5094,2.2217,0.4000,1.2459,2.2217,1.3140,0.3833
EUR/AUD,0.6,761,0.5085,1.9114,0.5000,1.1994,1.9114,1.0037,0.0730
EUR/AUD,0.65,502,0.5040,1.2753,0.2000,1.1241,1.2753,0.3676,-0.5632
EUR/AUD,0.7,317,0.4858,0.2287,-0.5000,1.0193,0.2287,-0.6790,-1.6098
EUR/AUD,0.75,202,0.5050,-0.1233,0.2500,0.9901,0.0000,-1.0310,-1.9617
EUR/AUD,0.8,128,0.4922,-2.9320,-0.3500,0.7947,0.0000,-3.8397,-4.7705
EUR/AUD,0.85,79,0.5443,0.5544,2.2000,1.0413,0.5544,-0.3533,-1.2840
EUR/AUD,0.9,38,0.4737,-5.2921,-0.3500,0.7158,0.0000,-6.1998,-7.1306
EUR/CAD,0.5,3428,0.4880,-0.3244,-0.6000,0.9608,0.0000,-1.1947,-2.0974
EUR/CAD,0.55,2411,0.4961,0.0256,-0.2000,1.0031,0.0256,-0.8446,-1.7473
EUR/CAD,0.6,1736,0.4960,-0.2349,-0.3000,0.9724,0.0000,-1.1051,-2.0078
EUR/CAD,0.65,1230,0.5000,0.3798,0.0500,1.0455,0.3798,-0.4905,-1.3932
EUR/CAD,0.7,862,0.5000,0.1042,0.0500,1.0121,0.1042,-0.7661,-1.6688
EUR/CAD,0.75,580,0.4931,-0.6079,-0.3000,0.9351,0.0000,-1.4782,-2.3809
EUR/CAD,0.8,395,0.4911,-1.5278,-0.6000,0.8473,0.0000,-2.3981,-3.3008
EUR/CAD,0.85,261,0.5096,-1.2644,0.2000,0.8784,0.0000,-2.1346,-3.0373
EUR/CAD,0.9,146,0.4863,-3.5726,-1.0000,0.6894,0.0000,-4.4429,-5.3456
EUR/CHF,0.5,3302,0.4979,-0.2101,0.0000,0.9566,0.0000,-0.9886,-1.8226
EUR/CHF,0.55,2342,0.4927,-0.2735,-0.1000,0.9448,0.0000,-1.0521,-1.8860
EUR/CHF,0.6,1660,0.5024,-0.1165,0.1000,0.9766,0.0000,-0.8951,-1.7290
