section,key,n,mean,median,std,win_rate,net,pf,t,p,be_cost,total_pnl,max_dd,ci_low,ci_high
holdout_comparison,discovery_2016-2022,21155,-0.046958,0.6,31.00255,0.513023,-1.766958,0.9954,-0.2203,0.825637,19.9486,-37380.0,37488.06,-0.464738,0.370821
holdout_comparison,holdout_2023,2998,3.147598,3.8,38.3432,0.562708,1.427598,1.2787,4.4948,7e-06,25.6613,4279.94,2928.58,1.775047,4.52015
holdout_comparison,oos_2024-2026,7275,2.748825,3.0,34.00217,0.555464,1.028825,1.2776,6.8954,0.0,22.7749,7484.7,4758.64,1.967474,3.530176
year_by_year,2016,2797,1.014659,0.0,40.225482,0.499464,-0.705341,1.077,1.334,0.182303,28.4215,-1972.84,4415.28,-0.476113,2.50543
year_by_year,2017,3101,0.242793,0.7,28.773217,0.514028,-1.477207,1.0241,0.4699,0.638465,20.1084,-4580.82,4588.66,-0.769937,1.255522
year_by_year,2018,3066,-2.365558,-0.3,27.989264,0.490215,-4.085558,0.7836,-4.6798,3e-06,17.4726,-12526.32,12574.58,-3.356302,-1.374814
year_by_year,2019,3259,0.343388,0.7,23.189699,0.521019,-1.376612,1.0446,0.8453,0.397983,15.4475,-4486.38,4839.08,-0.452788,1.139563
year_by_year,2020,3136,0.61132,0.7,28.536696,0.517219,-1.10868,1.0698,1.1996,0.230368,18.1165,-3476.82,5799.72,-0.387464,1.610105
year_by_year,2021,2782,0.808124,1.3,22.547785,0.530554,-0.911876,1.1041,1.8904,0.058809,16.1574,-2536.84,3192.34,-0.029756,1.646003
year_by_year,2022,3014,-0.867916,1.6,41.101912,0.51858,-2.587916,0.9372,-1.1593,0.246435,24.9647,-7799.98,10473.88,-2.33531,0.599477
year_by_year,2023,2998,3.147598,3.8,38.3432,0.562708,1.427598,1.2787,4.4948,7e-06,25.6613,4279.94,2928.58,1.775047,4.52015
year_by_year,2024,2764,0.894465,1.6,34.408613,0.530753,-0.825535,1.0816,1.3667,0.171839,22.3263,-2281.78,5480.18,-0.388321,2.177251
year_by_year,2025,2759,4.56419,3.7,37.583618,0.558536,2.84419,1.4484,6.3788,0.0,26.3979,7847.12,1641.34,3.161768,5.966612
year_by_year,2026,1752,2.815525,4.25,26.418201,0.589612,1.095525,1.3609,4.4609,9e-06,18.0072,1919.36,1177.12,1.578461,4.052589
pair_generalization,USD/JPY,8774,1.537509,2.0,32.364444,0.547185,0.137509,1.1634,4.4499,9e-06,20.0087,1206.5,6689.6,0.860295,2.214722
pair_generalization,EUR/JPY,0,0.0,,,,0.0,,,,,,,,
pair_generalization,GBP/JPY,6705,1.592498,2.0,44.580508,0.527815,-1.407502,1.1073,2.9251,0.003456,31.1259,-9437.3,17660.6,0.525407,2.65959
pair_generalization,AUD/JPY,5220,-0.355096,0.6,25.754616,0.510728,-2.355096,0.9619,-0.9962,0.319222,17.5375,-12293.6,12757.0,-1.053772,0.34358
pair_generalization,NZD/JPY,4860,-0.51356,0.1,22.27574,0.501646,-3.31356,0.9351,-1.6072,0.10807,14.7438,-16103.9,16247.4,-1.139842,0.112723
pair_generalization,CAD/JPY,5869,1.46916,1.7,28.581053,0.534503,-0.73084,1.1588,3.938,8.3e-05,20.0537,-4289.3,7900.6,0.737933,2.200387
pair_generalization,CHF/JPY,0,0.0,,,,0.0,,,,,,,,
volatility_regime,LOW,10566,1.009625,1.1,23.710968,0.525838,-0.710375,1.1303,4.3769,1.2e-05,16.6604,-7505.82,9768.26,0.557509,1.461741
volatility_regime,MID,10769,0.408404,1.7,29.293811,0.534776,-1.311596,1.0409,1.4468,0.147989,19.4371,-14124.58,16732.78,-0.144875,0.961683
volatility_regime,HIGH,10001,1.483812,1.7,42.282387,0.523848,-0.236188,1.1126,3.5095,0.000451,27.9804,-2362.12,6647.18,0.655118,2.312505
persistence_regime,LOW,10384,1.595715,1.3,36.254249,0.522438,-0.124285,1.1461,4.4852,7e-06,23.9634,-1290.58,8409.0,0.898394,2.293035
persistence_regime,MID,10738,1.277566,1.65,30.709261,0.535947,-0.442434,1.1303,4.311,1.6e-05,20.6712,-4750.86,7859.94,0.696716,1.858415
persistence_regime,HIGH,10214,-0.037498,1.2,30.137227,0.526141,-1.757498,0.9963,-0.1257,0.899935,19.0041,-17951.08,18400.5,-0.621966,0.546971
boj_regime,pre_normalization (2016-2023),24153,0.349567,0.9,32.022691,0.51919,-1.370433,1.0336,1.6965,0.089801,20.7171,-33100.06,33384.78,-0.05429,0.753425
boj_regime,normalization_beginning (2024),2761,0.886237,1.6,34.420401,0.530967,-0.833763,1.0808,1.3529,0.176197,22.3173,-2302.02,5468.76,-0.397686,2.170159
boj_regime,normalization_continued (2025-2026),4511,3.885037,4.0,33.700338,0.570605,2.165037,1.4197,7.7428,0.0,23.0305,9766.48,1641.34,2.901583,4.86849
