pair,horizon,n,correlation,p_value,mean_return,win_rate,profit_factor,break_even_cost
AUD/CAD,5min,131432,-0.0029,0.298862,-0.0020,0.4971,0.9991,0.0000
AUD/CAD,15min,131430,-0.0057,0.039195,-0.0059,0.4993,0.9985,0.0000
AUD/CAD,30min,131427,-0.0091,0.000955,-0.0116,0.4980,0.9979,0.0000
AUD/CAD,1h,131421,-0.0128,0.000003,-0.0234,0.4985,0.9970,0.0000
AUD/CAD,4h,131385,-0.0076,0.006011,-0.0825,0.5051,0.9947,0.0000
AUD/CAD,8h,131337,-0.0049,0.075634,-0.1476,0.5000,0.9932,0.0000
AUD/CAD,1d,130953,-0.0138,0.000001,-0.4901,0.4929,0.9893,0.0000
AUD/CHF,5min,131431,-0.0055,0.044653,-0.0121,0.4994,0.9940,0.0000
AUD/CHF,15min,131429,-0.0089,0.001286,-0.0361,0.5037,0.9895,0.0000
AUD/CHF,30min,131426,-0.0107,0.000111,-0.0717,0.5010,0.9852,0.0000
AUD/CHF,1h,131420,-0.0119,0.000016,-0.1422,0.5028,0.9795,0.0000
AUD/CHF,4h,131384,-0.0196,0.000000,-0.5687,0.5048,0.9601,0.0000
AUD/CHF,8h,131336,-0.0218,0.000000,-1.1431,0.5051,0.9426,0.0000
AUD/CHF,1d,130952,-0.0095,0.000625,-5.2322,0.4985,0.8834,0.0000
AUD/JPY,5min,131438,-0.0022,0.418021,0.0204,0.5049,1.0068,0.0204
AUD/JPY,15min,131436,-0.0050,0.069121,0.0614,0.5126,1.0117,0.0614
AUD/JPY,30min,131433,-0.0069,0.012783,0.1233,0.5162,1.0165,0.1233
AUD/JPY,1h,131427,-0.0097,0.000446,0.2488,0.5211,1.0232,0.2488
AUD/JPY,4h,131391,-0.0083,0.002686,1.0064,0.5307,1.0457,1.0064
AUD/JPY,8h,131343,-0.0037,0.184996,2.0371,0.5295,1.0660,2.0371
AUD/JPY,1d,130959,-0.0110,0.000067,10.9188,0.5582,1.1706,10.9188
AUD/USD,5min,131446,-0.0031,0.257780,-0.0019,0.4979,0.9991,0.0000
AUD/USD,15min,131444,-0.0054,0.048619,-0.0056,0.5002,0.9985,0.0000
AUD/USD,30min,131441,-0.0082,0.002958,-0.0111,0.5020,0.9980,0.0000
AUD/USD,1h,131435,-0.0139,0.000000,-0.0216,0.5044,0.9973,0.0000
AUD/USD,4h,131399,-0.0126,0.000005,-0.0782,0.5056,0.9952,0.0000
AUD/USD,8h,131351,-0.0138,0.000001,-0.1395,0.5011,0.9940,0.0000
AUD/USD,1d,130967,-0.0142,0.000000,-0.2684,0.5099,0.9947,0.0000
CAD/CHF,5min,131416,-0.0009,0.732981,-0.0109,0.5002,0.9940,0.0000
CAD/CHF,15min,131414,-0.0002,0.934341,-0.0326,0.5021,0.9895,0.0000
CAD/CHF,30min,131411,0.0007,0.802591,-0.0648,0.5019,0.9851,0.0000
