universe,horizon,n,mean_return,win_rate,t_statistic,p_value,corr_spearman
full_28,5min,116834,-0.0073,0.4912,-0.2480,0.804161,-0.0059
full_28,15min,116831,-0.0164,0.4909,-0.3197,0.749188,-0.0054
full_28,30min,116825,0.0793,0.4919,1.0694,0.284897,-0.0089
full_28,1h,116815,0.1375,0.4948,1.3972,0.162369,-0.0054
full_28,4h,116780,0.4077,0.4969,2.1410,0.032274,-0.0047
full_28,8h,116758,0.6622,0.4991,2.4995,0.012439,-0.0077
full_28,1d,116450,1.3689,0.5028,2.3795,0.017339,-0.0108
legacy_12,5min,95674,-0.0467,0.4887,-1.3211,0.186475,0.0014
legacy_12,15min,95674,-0.1014,0.4885,-1.6345,0.102161,0.0011
legacy_12,30min,95671,-0.1108,0.4880,-1.2378,0.215782,0.0014
legacy_12,1h,95665,0.0706,0.4891,0.5941,0.552475,0.0034
legacy_12,4h,95647,0.1485,0.4982,0.6435,0.519916,0.0003
legacy_12,8h,95609,0.3769,0.4967,1.1595,0.246271,0.0051
legacy_12,1d,95287,-0.3450,0.4975,-0.4786,0.632203,0.0166
tradeable_7,5min,100750,-0.0412,0.4898,-1.1545,0.248285,-0.0020
tradeable_7,15min,100750,-0.1130,0.4889,-1.8093,0.070406,0.0015
tradeable_7,30min,100749,-0.1811,0.4877,-2.0140,0.044011,-0.0000
tradeable_7,1h,100742,-0.2634,0.4875,-2.1689,0.030091,0.0030
tradeable_7,4h,100723,-0.1307,0.4966,-0.5608,0.574919,-0.0013
tradeable_7,8h,100683,0.2479,0.4987,0.7603,0.447060,0.0030
tradeable_7,1d,100357,-0.0643,0.4987,-0.0882,0.929692,0.0081
