pair,regime,n,win_rate,mean_return,profit_factor,break_even_cost,net_exp_base
AUD/CAD,2019-2021,105,0.5524,0.7876,1.1611,0.7876,-0.9854
AUD/CAD,2022-2024,300,0.4833,-0.0333,0.9948,0.0000,-1.8063
AUD/CAD,2025-2026,149,0.5839,2.4396,1.5866,2.4396,0.6666
AUD/CHF,2019-2021,79,0.6203,0.8228,1.2241,0.8228,-0.7897
AUD/CHF,2022-2024,231,0.4372,-2.4658,0.6177,0.0000,-4.0783
AUD/CHF,2025-2026,149,0.5101,-0.2624,0.9401,0.0000,-1.8749
AUD/JPY,2019-2021,116,0.5000,0.2448,1.0441,0.2448,-1.5776
AUD/JPY,2022-2024,258,0.5116,-2.0147,0.8023,0.0000,-3.8371
AUD/JPY,2025-2026,139,0.5827,3.7669,1.4526,3.7669,1.9445
AUD/USD,2019-2021,90,0.5000,-0.7589,0.8765,0.0000,-2.4089
AUD/USD,2022-2024,342,0.4912,0.1316,1.0185,0.1316,-1.5184
AUD/USD,2025-2026,163,0.4663,-1.0362,0.8355,0.0000,-2.6862
CAD/JPY,2019-2021,162,0.5432,0.7389,1.1146,0.7389,-1.0835
CAD/JPY,2022-2024,430,0.5093,-0.2509,0.9745,0.0000,-2.0733
CAD/JPY,2025-2026,181,0.5525,-0.7193,0.9267,0.0000,-2.5417
EUR/AUD,2019-2021,95,0.3684,-4.0958,0.6190,0.0000,-5.9343
EUR/AUD,2022-2024,260,0.5308,4.0096,1.4313,4.0096,2.1712
EUR/AUD,2025-2026,147,0.5442,-0.0898,0.9923,0.0000,-1.9283
EUR/CAD,2019-2021,198,0.4596,-1.7641,0.7837,0.0000,-3.5371
EUR/CAD,2022-2024,743,0.5101,0.3787,1.0432,0.3787,-1.3942
EUR/CAD,2025-2026,289,0.5017,1.8512,1.2499,1.8512,0.0782
EUR/CHF,2019-2021,202,0.4208,-1.8847,0.6089,0.0000,-3.4972
EUR/CHF,2022-2024,728,0.5316,0.2975,1.0535,0.2975,-1.3150
EUR/CHF,2025-2026,285,0.5053,0.2575,1.0629,0.2575,-1.3550
EUR/GBP,2019-2021,253,0.5059,0.3565,1.0847,0.3565,-1.2191
EUR/GBP,2022-2024,722,0.4765,-0.1368,0.9735,0.0000,-1.7124
EUR/GBP,2025-2026,336,0.4524,0.3018,1.0897,0.3018,-1.2738
EUR/USD,2019-2021,182,0.4890,-0.3863,0.9372,0.0000,-2.0363
EUR/USD,2022-2024,700,0.5186,0.3766,1.0481,0.3766,-1.2734
EUR/USD,2025-2026,277,0.5235,1.0274,1.1536,1.0274,-0.6226
GBP/AUD,2019-2021,99,0.4545,-2.3889,0.7789,0.0000,-4.2274
GBP/AUD,2022-2024,250,0.5200,2.8256,1.2242,2.8256,0.9871
GBP/AUD,2025-2026,149,0.5570,2.4490,1.2211,2.4490,0.6105
GBP/CAD,2019-2021,220,0.5409,2.4459,1.2990,2.4459,0.6729
GBP/CAD,2022-2024,751,0.5233,1.8450,1.1873,1.8450,0.0720
GBP/CAD,2025-2026,329,0.4954,-0.9453,0.9029,0.0000,-2.7183
GBP/JPY,2019-2021,158,0.5949,0.7222,1.0775,0.7222,-1.1002
GBP/JPY,2022-2024,412,0.5583,0.1874,1.0124,0.1874,-1.6350
GBP/JPY,2025-2026,164,0.5305,0.1646,1.0109,0.1646,-1.6578
GBP/USD,2019-2021,187,0.5348,-0.0005,0.9999,0.0000,-1.6505
GBP/USD,2022-2024,626,0.5128,0.9144,1.1007,0.9144,-0.7356
GBP/USD,2025-2026,224,0.4821,-1.1308,0.8613,0.0000,-2.7808
NZD/CHF,2019-2021,94,0.5532,0.5649,1.1484,0.5649,-1.0476
NZD/CHF,2022-2024,259,0.4324,-2.0625,0.6254,0.0000,-3.6750
NZD/CHF,2025-2026,131,0.4275,-1.2412,0.6909,0.0000,-2.8537
NZD/JPY,2019-2021,90,0.5333,-0.7400,0.8771,0.0000,-2.5624
NZD/JPY,2022-2024,253,0.5178,-3.1625,0.6863,0.0000,-4.9848
NZD/JPY,2025-2026,126,0.5952,0.5048,1.0629,0.5048,-1.3176
NZD/USD,2019-2021,119,0.4370,-1.9252,0.7221,0.0000,-3.5752
NZD/USD,2022-2024,331,0.4411,-0.9480,0.8660,0.0000,-2.5980
NZD/USD,2025-2026,149,0.4295,-0.6537,0.8660,0.0000,-2.3037
USD/CHF,2019-2021,219,0.4703,-1.8895,0.7346,0.0000,-3.5020
USD/CHF,2022-2024,681,0.4919,-0.5587,0.9241,0.0000,-2.1712
USD/CHF,2025-2026,262,0.4656,-0.7832,0.8729,0.0000,-2.3957
USD/JPY,2019-2021,152,0.5395,3.0987,1.6049,3.0987,1.2763
USD/JPY,2022-2024,461,0.5163,0.2781,1.0214,0.2781,-1.5443
USD/JPY,2025-2026,187,0.5027,-2.3198,0.8281,0.0000,-4.1422
