filter,horizon,disc_n,disc_mean,disc_win_rate,disc_net,disc_all_net,disc_improvement,oos_n,oos_mean,oos_win_rate,oos_net,oos_all_net,oos_improvement,oos_t_stat,oos_p_value,classification
gap_range,1h,598324,0.012175,0.49995,-1.707825,-1.727888,0.020063000000000164,188591,0.036162,0.502283,-1.683838,-1.677876,-0.005962000000000023,1.3224,0.186038,C. OOS NEGATIVE
gap_range,4h,598324,0.001146,0.5031,-1.718854,-1.750489,0.03163499999999986,188552,0.256961,0.506995,-1.463039,-1.553623,0.090584,4.7783,2e-06,C. OOS NEGATIVE
jpy_crosses,1h,498640,0.024619,0.507117,-1.695381,-1.727888,0.032507000000000064,158553,0.118142,0.51239,-1.601858,-1.677876,0.07601799999999992,2.8371,0.004553,C. OOS NEGATIVE
jpy_crosses,4h,498640,0.101927,0.513537,-1.618073,-1.750489,0.13241599999999987,158523,0.467863,0.52352,-1.252137,-1.553623,0.3014859999999999,5.6533,0.0,C. OOS NEGATIVE
session_overlap,1h,332155,0.021134,0.497999,-1.698866,-1.727888,0.029022000000000103,105581,0.134288,0.506076,-1.585712,-1.677876,0.09216399999999991,2.8253,0.004725,C. OOS NEGATIVE
session_overlap,4h,332155,0.146506,0.502103,-1.573494,-1.750489,0.176995,105581,0.439161,0.513568,-1.280839,-1.553623,0.2727839999999999,5.1963,0.0,C. OOS NEGATIVE
trend_alignment,1h,1001686,-0.058808,0.49499,-1.778808,-1.727888,-0.050919999999999854,332895,-0.064818,0.495685,-1.784818,-1.677876,-0.10694200000000009,-3.1657,0.001547,C. OOS NEGATIVE
trend_alignment,4h,1001686,-0.113419,0.496826,-1.833419,-1.750489,-0.08292999999999995,332832,-0.117124,0.497696,-1.837124,-1.553623,-0.283501,-2.8946,0.003796,C. OOS NEGATIVE
volatility_low,1h,0,0.0,0.5,0.0,-1.727888,1.727888,0,0.0,0.5,0.0,-1.677876,1.677876,0.0,1.0,D. INSUFFICIENT OOS DATA
volatility_low,4h,0,0.0,0.5,0.0,-1.750489,1.750489,0,0.0,0.5,0.0,-1.553623,1.553623,0.0,1.0,D. INSUFFICIENT OOS DATA
currency_structure,1h,199442,-0.074937,0.499669,-1.794937,-1.727888,-0.06704899999999991,62769,-0.121268,0.500454,-1.841268,-1.677876,-0.16339199999999998,-2.2989,0.021516,C. OOS NEGATIVE
currency_structure,4h,199442,-0.095446,0.50192,-1.815446,-1.750489,-0.06495699999999993,62762,-0.419608,0.505608,-2.139608,-1.553623,-0.585985,-4.0951,4.2e-05,C. OOS NEGATIVE
