formation,holding,n,mean,median,win_rate,t_stat,p_value,decile_monotonicity
1D,1D,131408,-5.1e-05,-7.1e-05,0.464081,-13.6542,0.0,-1.0
1D,3D,131350,-7.8e-05,-0.0001,0.470895,-12.234,0.0,-1.0
1D,5D,131294,-8.5e-05,-0.00011,0.473875,-10.7655,0.0,-1.0
1D,10D,131158,-8.9e-05,-0.000107,0.48283,-8.5078,0.0,-0.9762
1D,20D,130888,-9.6e-05,-0.000113,0.487707,-6.4722,0.0,-0.9762
1D,40D,130348,-0.000112,-0.000117,0.492244,-5.4127,0.0,-1.0
3D,1D,131350,-4.5e-05,-6.1e-05,0.469357,-11.6676,0.0,-1.0
3D,3D,131294,-8.1e-05,-0.000108,0.468826,-9.6024,0.0,-0.9762
3D,5D,131239,-9.5e-05,-0.000122,0.471986,-8.5131,0.0,-1.0
3D,10D,131104,-0.0001,-0.000115,0.48129,-6.5193,0.0,-1.0
3D,20D,130834,-0.000109,-0.000118,0.486976,-4.8647,1e-06,-1.0
3D,40D,130294,-0.000126,-0.000128,0.490982,-3.9863,6.7e-05,-0.8982
5D,1D,131294,-4.4e-05,-5.9e-05,0.470402,-11.7497,0.0,-1.0
5D,3D,131239,-7.8e-05,-9.7e-05,0.471034,-8.7327,0.0,-1.0
5D,5D,131185,-9.1e-05,-0.000114,0.474002,-7.1296,0.0,-1.0
5D,10D,131050,-9.8e-05,-0.000116,0.481496,-5.1946,0.0,-1.0
5D,20D,130780,-0.000108,-0.000125,0.486397,-3.9243,8.7e-05,-0.9762
5D,40D,130240,-0.000109,-0.000127,0.490748,-2.7821,0.005402,-0.9524
10D,1D,131158,-2.5e-05,-4.1e-05,0.479254,-6.8612,0.0,-1.0
10D,3D,131104,-4.1e-05,-6.7e-05,0.479284,-4.4599,8e-06,-1.0
10D,5D,131050,-5e-05,-8.2e-05,0.480984,-3.5906,0.00033,-1.0
10D,10D,130915,-7.6e-05,-8.4e-05,0.486728,-3.237,0.001208,-0.9762
10D,20D,130645,-7.6e-05,-9.8e-05,0.489808,-2.1179,0.034186,-0.9286
10D,40D,130105,-8.1e-05,-0.000111,0.491926,-1.5483,0.121542,-0.8095
20D,1D,130888,-1.6e-05,-2.7e-05,0.485484,-4.4565,8e-06,-0.8862
20D,3D,130834,-2.1e-05,-4.3e-05,0.486533,-2.2013,0.027715,-0.9222
20D,5D,130780,-2.3e-05,-4.8e-05,0.488377,-1.5657,0.117416,-0.9762
20D,10D,130645,-2.9e-05,-5e-05,0.491576,-1.1007,0.271043,-0.8333
20D,20D,130375,-3e-05,-4.5e-05,0.494926,-0.7018,0.482821,-0.8095
20D,40D,129835,-9e-05,-7.6e-05,0.494597,-1.3859,0.16577,-0.9048
40D,1D,130348,-9e-06,-1.8e-05,0.489774,-2.6311,0.008512,-0.8729
40D,3D,130294,-1.1e-05,-4.2e-05,0.487198,-1.1552,0.248031,-0.7425
40D,5D,130240,-1.1e-05,-5.1e-05,0.487439,-0.7547,0.450411,-0.7319
40D,10D,130105,-9e-06,-4.6e-05,0.492956,-0.3215,0.747803,-0.619
40D,20D,129835,-4.8e-05,-7.4e-05,0.491894,-0.9919,0.321242,-0.7066
40D,40D,129295,-0.000139,-0.00012,0.491651,-1.837,0.066218,-0.9286
60D,1D,129808,-1.1e-05,-1.3e-05,0.493121,-3.2082,0.001336,-0.9461
60D,3D,129754,-1.9e-05,-3.2e-05,0.490251,-1.9099,0.056152,-0.881
60D,5D,129700,-2.4e-05,-4.6e-05,0.489075,-1.5356,0.124635,-0.8623
60D,10D,129565,-4.7e-05,-6.2e-05,0.490788,-1.5972,0.110213,-0.881
60D,20D,129295,-8.1e-05,-0.000103,0.489253,-1.588,0.112286,-0.8095
60D,40D,128762,-0.000117,-9e-05,0.493748,-1.5123,0.130459,-0.8571
120D,1D,128216,-8e-06,-7e-06,0.496319,-2.1042,0.035363,-0.9048
120D,3D,128164,-9e-06,-2.1e-05,0.49322,-0.8627,0.388325,-0.9157
120D,5D,128112,-7e-06,-3e-05,0.492538,-0.4441,0.656993,-0.9157
120D,10D,127982,-1e-06,-3.7e-05,0.49421,-0.0321,0.974379,-0.5
120D,20D,127722,6e-06,-7.7e-05,0.49199,0.105,0.916407,-0.2619
120D,40D,127214,-3.2e-05,-9.8e-05,0.493366,-0.3922,0.694924,-0.619
